Date : 2026-02-21 01:52:58
Directory : c:\Users\Ahmed\projects\CodeQuiz
Total : 501 files,  48599 codes, 2746 comments, 7311 blanks, all 58656 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\arrow_big_left_filled.svg                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\arrow_forward_ios_rounded.svg                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\auto_awesome.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\bell.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\book.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\caret_left_filled.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\clipboard.svg                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\clock.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\close.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\copy_check.svg                                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\docker.svg                                                               | XML                |         14 |          0 |          0 |         14 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\download.svg                                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\edit_circle.svg                                                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\error.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\eye.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\feedback.svg                                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\flag.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\flask.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\groq.svg                                                                 | XML                |         20 |          0 |          1 |         21 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\layout_grid.svg                                                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\lightbulb.svg                                                            | XML                |          3 |          0 |          1 |          4 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\lock.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\logout.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\pencil.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\player_play.svg                                                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\question.svg                                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\quiz.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\refresh.svg                                                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\restart.svg                                                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\robot.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\save.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\share.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\shield.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\sidepane.svg                                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\smart_toy.svg                                                            | XML                |          3 |          0 |          1 |          4 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\stats.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\success.svg                                                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\target.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\teacher.svg                                                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\trash.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Images\warning.svg                                                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Splash\splash.svg                                                               | XML                |          8 |          0 |          0 |          8 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Styles\Colors.xaml                                                              | XAML               |         59 |         12 |         14 |         85 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Resources\Styles\Styles.xaml                                                              | XAML               |        628 |         15 |         80 |        723 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Services\AlertService.cs                                                                  | C#                 |         77 |          1 |         12 |         90 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Services\GlobalExceptionHandler.cs                                                        | C#                 |        160 |         16 |         30 |        206 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Services\IAlertService.cs                                                                 | C#                 |          8 |          0 |          2 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Services\INavigationService.cs                                                            | C#                 |         11 |          0 |          2 |         13 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Services\IQuizDialogService.cs                                                            | C#                 |         10 |          0 |          2 |         12 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Services\ITokenService.cs                                                                 | C#                 |         16 |          0 |          2 |         18 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Services\IUIService.cs                                                                    | C#                 |         26 |         62 |         12 |        100 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Services\NavigationService.cs                                                             | C#                 |         25 |          0 |          5 |         30 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Services\QuizDialogService.cs                                                             | C#                 |         41 |          0 |          5 |         46 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Services\TokenService.cs                                                                  | C#                 |         86 |          0 |          9 |         95 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Services\UIService.cs                                                                     | C#                 |        412 |         46 |         87 |        545 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\BaseViewModel.cs                                                               | C#                 |        101 |         19 |         11 |        131 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\CreateQuizVM.cs                                                                | C#                 |        482 |         10 |         53 |        545 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\CreatedQuizzesVM.cs                                                            | C#                 |        114 |          1 |         15 |        130 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\DashboardVM.cs                                                                 | C#                 |        291 |         20 |         43 |        354 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\ExamineeReviewQuizVM.cs                                                        | C#                 |        226 |         35 |         37 |        298 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\ExaminerViewQuizVM.cs                                                          | C#                 |        518 |         68 |         86 |        672 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\GradeAttemptVM.cs                                                              | C#                 |        596 |        122 |        101 |        819 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\JoinQuizVM.cs                                                                  | C#                 |        470 |         56 |         60 |        586 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\JoinedQuizzesVM.cs                                                             | C#                 |         91 |          0 |         12 |        103 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\LoginVM.cs                                                                     | C#                 |        103 |          1 |         16 |        120 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\ProfileViewModel.cs                                                            | C#                 |        135 |          5 |         20 |        160 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\RegisterVM.cs                                                                  | C#                 |         50 |          0 |          8 |         58 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Viewmodels\StartupViewModel.cs                                                            | C#                 |         76 |          0 |         10 |         86 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\AddQuestionDialog.xaml                                                              | XAML               |        180 |         13 |         17 |        210 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\AddQuestionDialog.xaml.cs                                                           | C#                 |        358 |         35 |         38 |        431 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\ConfirmationDialog.xaml                                                             | XAML               |         88 |          4 |          9 |        101 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\ConfirmationDialog.xaml.cs                                                          | C#                 |         69 |          5 |         13 |         87 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\CreateQuiz.xaml                                                                     | XAML               |        232 |         15 |         13 |        260 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\CreateQuiz.xaml.cs                                                                  | C#                 |         10 |          0 |          2 |         12 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\CreatedQuizzes.xaml                                                                 | XAML               |        125 |         17 |         14 |        156 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\CreatedQuizzes.xaml.cs                                                              | C#                 |          8 |          0 |          1 |          9 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\Dashboard.xaml                                                                      | XAML               |        254 |         21 |         17 |        292 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\Dashboard.xaml.cs                                                                   | C#                 |         10 |          0 |          4 |         14 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\ErrorDialog.xaml                                                                    | XAML               |         80 |          4 |          9 |         93 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\ErrorDialog.xaml.cs                                                                 | C#                 |         48 |          1 |         12 |         61 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\ExamineeReviewQuiz.xaml                                                             | XAML               |        252 |         17 |         17 |        286 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\ExamineeReviewQuiz.xaml.cs                                                          | C#                 |         10 |          0 |          2 |         12 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\ExaminerViewQuiz.xaml                                                               | XAML               |        385 |         30 |         39 |        454 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\ExaminerViewQuiz.xaml.cs                                                            | C#                 |         69 |         11 |         14 |         94 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\GradeAttempt.xaml                                                                   | XAML               |        358 |         20 |         17 |        395 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\GradeAttempt.xaml.cs                                                                | C#                 |         10 |          0 |          3 |         13 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\InputDialog.xaml                                                                    | XAML               |         95 |          4 |         10 |        109 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\InputDialog.xaml.cs                                                                 | C#                 |        104 |          3 |         21 |        128 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\JoinQuiz.xaml                                                                       | XAML               |        228 |         18 |         18 |        264 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\JoinQuiz.xaml.cs                                                                    | C#                 |         19 |          2 |          6 |         27 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\JoinedQuizzes.xaml                                                                  | XAML               |         96 |         25 |         15 |        136 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\JoinedQuizzes.xaml.cs                                                               | C#                 |          8 |          0 |          1 |          9 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\Login.xaml                                                                          | XAML               |         63 |          7 |         13 |         83 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\Login.xaml.cs                                                                       | C#                 |         10 |          0 |          3 |         13 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\MainPage.xaml                                                                       | XAML               |         68 |          8 |          8 |         84 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\MainPage.xaml.cs                                                                    | C#                 |         99 |          0 |         12 |        111 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\ProfilePage.xaml                                                                    | XAML               |        141 |         34 |         21 |        196 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\ProfilePage.xaml.cs                                                                 | C#                 |         10 |          0 |          3 |         13 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\QuizCodeDialog.xaml                                                                 | XAML               |        141 |          9 |         12 |        162 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\QuizCodeDialog.xaml.cs                                                              | C#                 |        121 |         27 |         28 |        176 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\Register.xaml                                                                       | XAML               |         83 |          9 |         15 |        107 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\Register.xaml.cs                                                                    | C#                 |         10 |          0 |          2 |         12 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\Startup.xaml                                                                        | XAML               |         76 |          6 |          8 |         90 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\Startup.xaml.cs                                                                     | C#                 |         18 |          0 |          3 |         21 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\SuccessDialog.xaml                                                                  | XAML               |         80 |          4 |          9 |         93 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizDesktop\Views\SuccessDialog.xaml.cs                                                               | C#                 |         48 |          1 |         12 |         61 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\README.md                                                                                     | Markdown           |         36 |          0 |         24 |         60 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\angular.json                                                                                  | JSON               |         78 |          0 |          1 |         79 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\package-lock.json                                                                             | JSON               |      9,258 |          0 |          1 |      9,259 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\package.json                                                                                  | JSON               |         46 |          0 |          1 |         47 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\arrow_back_ios_new_rounded.svg                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\arrow_big_left_filled.svg                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\arrow_forward_ios_rounded.svg                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\auto_awesome.svg                                                          | XML                |          3 |          0 |          1 |          4 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\bell.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\book.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\caret_left_filled.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\chart.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\clipboard.svg                                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\clock.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\close.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\code.svg                                                                  | XML                |          1 |          0 |          1 |          2 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\copy_check.svg                                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\database.svg                                                              | XML                |          3 |          0 |          0 |          3 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\docker.svg                                                                | XML                |         14 |          0 |          0 |         14 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\download.svg                                                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\edit_circle.svg                                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\error.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\eye.svg                                                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\feedback.svg                                                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\fire.svg                                                                  | XML                |          3 |          0 |          0 |          3 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\flag.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\flask.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\groq.svg                                                                  | XML                |         20 |          0 |          1 |         21 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\layout_grid.svg                                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\lightbulb.svg                                                             | XML                |          3 |          0 |          1 |          4 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\lightning.svg                                                             | XML                |          3 |          0 |          0 |          3 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\lock.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\logout.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\mobile.svg                                                                | XML                |          3 |          0 |          0 |          3 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\pencil.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\player_play.svg                                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\question.svg                                                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\quiz.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\refresh.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\restart.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\robot.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\save.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\share.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\shield.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\sidepane.svg                                                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\smart_toy.svg                                                             | XML                |          3 |          0 |          1 |          4 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\star.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\stats.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\success.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\target.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\teacher.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\trash.svg                                                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\public\assets\icons\warning.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\app-shell.ts                                                                          | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\app.config.ts                                                                         | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\app.html                                                                              | HTML               |        285 |         13 |         18 |        316 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\app.scss                                                                              | SCSS               |        932 |         20 |        162 |      1,114 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\app.spec.ts                                                                           | TypeScript         |         20 |          0 |          4 |         24 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\app.ts                                                                                | TypeScript         |        206 |          5 |         21 |        232 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system-demo\design-system-demo.html                                            | HTML               |      1,496 |         20 |         23 |      1,539 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system-demo\design-system-demo.scss                                            | SCSS               |        288 |          4 |         45 |        337 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system-demo\design-system-demo.ts                                              | TypeScript         |      1,047 |         26 |         37 |      1,110 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system-demo\dialogs\create-quiz-dialog.ts                                      | TypeScript         |         58 |          4 |          5 |         67 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system-demo\testing-page\testing-page.html                                     | HTML               |         12 |          0 |          1 |         13 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system-demo\testing-page\testing-page.scss                                     | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system-demo\testing-page\testing-page.spec.ts                                  | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system-demo\testing-page\testing-page.ts                                       | TypeScript         |         22 |         61 |          9 |         92 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system\components\avatar\cq-avatar.ts                                          | TypeScript         |         45 |          0 |          6 |         51 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system\components\badges\cq-badge\cq-badge.ts                                  | TypeScript         |         36 |          1 |          5 |         42 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system\components\buttons\cq-button\cq-button.html                             | HTML               |         17 |          0 |          1 |         18 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system\components\buttons\cq-button\cq-button.scss                             | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system\components\buttons\cq-button\cq-button.spec.ts                          | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system\components\buttons\cq-button\cq-button.ts                               | TypeScript         |         37 |          0 |          6 |         43 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system\components\cards\cq-card\cq-card.html                                   | HTML               |          8 |          0 |          1 |          9 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizWeb\src\app\design-system\components\cards\cq-card\cq-card.scss                                   | SCSS               |          0 |          0 |          1 |          1 |
