Date : 2026-02-21 01:52:58
Directory : c:\Users\Ahmed\projects\CodeQuiz
Total : 501 files,  48599 codes, 2746 comments, 7311 blanks, all 58656 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| CodeQuizWeb\src\app\design-system\components\inputs\cq-input                                                                               |          1 |         62 |          0 |          7 |         69 |
| CodeQuizWeb\src\app\design-system\components\inputs\cq-select                                                                              |          1 |         66 |          0 |          8 |         74 |
| CodeQuizWeb\src\app\design-system\components\inputs\cq-switch                                                                              |          1 |         48 |          0 |          7 |         55 |
| CodeQuizWeb\src\app\design-system\components\inputs\cq-textarea                                                                            |          1 |         61 |          0 |          7 |         68 |
| CodeQuizWeb\src\app\design-system\components\messages                                                                                      |          1 |         31 |          0 |          3 |         34 |
| CodeQuizWeb\src\app\design-system\components\messages\cq-message                                                                           |          1 |         31 |          0 |          3 |         34 |
| CodeQuizWeb\src\app\design-system\components\progress-bar                                                                                  |          1 |         73 |          0 |          5 |         78 |
| CodeQuizWeb\src\app\design-system\components\tabs                                                                                          |          4 |         99 |          1 |         13 |        113 |
| CodeQuizWeb\src\app\design-system\components\tabs\cq-tab                                                                                   |          1 |         14 |          0 |          2 |         16 |
| CodeQuizWeb\src\app\design-system\components\tabs\cq-tab-view                                                                              |          3 |         85 |          1 |         11 |         97 |
| CodeQuizWeb\src\app\design-system\components\toast                                                                                         |          1 |         76 |          0 |         10 |         86 |
| CodeQuizWeb\src\app\design-system\directives                                                                                               |          1 |         79 |          1 |         19 |         99 |
| CodeQuizWeb\src\app\design-system\pages                                                                                                    |          4 |         55 |          0 |         12 |         67 |
| CodeQuizWeb\src\app\design-system\pages\cq-page                                                                                            |          4 |         55 |          0 |         12 |         67 |
| CodeQuizWeb\src\app\design-system\services                                                                                                 |          4 |        305 |         51 |         50 |        406 |
| CodeQuizWeb\src\app\reset-password                                                                                                         |          3 |        218 |          3 |         35 |        256 |
| CodeQuizWeb\src\styles                                                                                                                     |         14 |      2,080 |        213 |        395 |      2,688 |
| CodeQuizWeb\src\styles\design-system                                                                                                       |         14 |      2,080 |        213 |        395 |      2,688 |
| docs                                                                                                                                       |          4 |      2,587 |          5 |        552 |      3,144 |
| documentation                                                                                                                              |         14 |      2,264 |          0 |        610 |      2,874 |
| documentation\authentication                                                                                                               |          7 |        970 |          0 |        259 |      1,229 |
| documentation\execution                                                                                                                    |          7 |      1,294 |          0 |        351 |      1,645 |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                   | language           | code       | comment    | blank      | total      |
