"filename", "language", "Markdown", "Ignore", "JSON", "JSON with Comments", "TypeScript", "HTML", "SCSS", "YAML", "C#", "XML", "XAML", "Docker", "comment", "blank", "total"
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Repositories\IUsersRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Repositories\UsersRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 7, 76
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Services\IAuthenticationService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Services\ITokenService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Services\JWTAuthenticationService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 7, 29, 185
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Services\TokenService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 9, 68
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\CodeQuizBackend.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Data\ApplicationDbContext.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 2, 6, 48
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Data\Models\ApiResponse.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Exceptions\BadRequestException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Exceptions\ForbiddenException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Exceptions\ResourceNotFoundException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Exceptions\ServiceUnavailableException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Exceptions\UnauthorizedException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Logging\AppLogger.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Logging\IAppLogger.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Middlewares\ExceptionHandlingMiddleware.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 3, 93
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Services\Ai\GroqModels.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 15, 5, 56
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Services\Ai\GroqService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 13, 19, 124
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Services\Ai\GroqSettings.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 19, 5, 35
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Services\Ai\IGroqService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 16, 2, 26
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Services\IMailService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 48, 8, 95
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Services\SmtpMailService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 334, 0, 0, 0, 2, 34, 370
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Utils\SecureCodeGenerator.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Controllers\ExecutionController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Exceptions\CodeRunnerException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Exceptions\UnsupportedLanguageException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\CodeRunnerOptions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\CodeRunnerResult.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
